"Date","2 year 60% LTV fixed-rate mortgages ","2 year 75% LTV fixed-rate mortgages","2 year 85% LTV fixed-rate mortgages","2 year 90% LTV fixed-rate mortgages ","2 year 95% LTV fixed-rate mortgages"
"30-04-2024","4.86","4.98","5.16","5.47","5.87"
"31-05-2024","5.01","5.19","5.32","5.66","6.04"
"30-06-2024","5","5.16","5.3","5.65","6.07"
"31-07-2024","4.8","4.99","5.21","5.61","5.97"
"31-08-2024","4.55","4.8","5.07","5.54","5.9"
"30-09-2024","4.37","4.58","4.86","5.4","5.76"
"31-10-2024","4.19","4.4","4.75","5.3","5.61"
"30-11-2024","4.39","4.53","4.87","5.41","5.69"
"31-12-2024","4.47","4.6","4.88","5.37","5.7"
"31-01-2025","4.48","4.63","4.9","5.35","5.69"
"28-02-2025","4.45","4.65","4.86","5.26","5.64"
"31-03-2025","4.31","4.54","4.73","5.09","5.44"
"30-04-2025","4.23","4.42","4.63","4.96","5.29"
"31-05-2025","4.07","4.18","4.49","4.82","5.1"
"30-06-2025","4.18","4.28","4.47","4.8","5.1"
"31-07-2025","4.02","4.21","4.28","4.62","5.05"
"31-08-2025","3.93","4.1","4.21","4.55","5"
"30-09-2025","4.03","4.19","4.32","4.58","5.03"
"31-10-2025","4.03","4.2","4.31","4.57","5"
"30-11-2025","3.91","4.06","4.23","4.49","4.91"
"31-12-2025","3.78","3.97","4.15","4.42","4.83"
"31-01-2026","3.72","3.92","4.09","4.37","4.81"
"28-02-2026","3.78","3.97","4.07","4.34","4.83"
