"Date","2 year 75% LTV fixed-rate mortgages","3 year 75% LTV fixed-rate mortgages","5 year 75% LTV fixed-rate mortgages","10 year 75% LTV fixed-rate mortgages"
"30-04-2024","4.98","4.74","4.51","4.78"
"31-05-2024","5.19","4.88","4.66","4.87"
"30-06-2024","5.16","4.86","4.64","4.87"
"31-07-2024","4.99","4.78","4.49","4.86"
"31-08-2024","4.8","4.62","4.33","4.85"
"30-09-2024","4.58","4.43","4.09","4.8"
"31-10-2024","4.4","4.28","4.06","4.65"
"30-11-2024","4.53","4.44","4.29","4.61"
"31-12-2024","4.6","4.48","4.37","4.58"
"31-01-2025","4.63","4.5","4.37","4.57"
"28-02-2025","4.65","4.49","4.38","4.6"
"31-03-2025","4.54","4.38","4.32","4.6"
"30-04-2025","4.42","4.34","4.29","4.59"
"31-05-2025","4.18","4.27","4.19","4.53"
"30-06-2025","4.28","4.28","4.26","4.51"
"31-07-2025","4.21","4.18","4.15","4.47"
"31-08-2025","4.1","4.1","4.11","4.46"
"30-09-2025","4.19","4.18","4.16","4.54"
"31-10-2025","4.2","4.19","4.17","4.55"
"30-11-2025","4.06","4.02","4.06","4.49"
"31-12-2025","3.97","3.99","3.99","4.48"
"31-01-2026","3.92","3.94","3.95","4.48"
"28-02-2026","3.97","3.94","4.01","4.48"
